"scenario_id","domain","previous_status","previous_failure_category","application_invoked","ai_provider_invoked","provider_http_failure","provider_call","http_status_code","exception_type","retry_count","request_duration_seconds","entity_resolution","sql_planned","sql_executed","evidence_collected","evidence_gate","ai_judge_completed","new_status","new_failure_category","root_cause","code_change","test_evidence","scenario_now_passes","blocked_by_provider_or_runtime"
"banking-pilot-001","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.223154799998156","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-002","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.421485200000461","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-003","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.879963800005498","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-004","banking","AI_SKIPPED_BY_EVIDENCE_GATE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","5.275982399994973","exact","yes","yes","yes","rejected","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Fixture status contradicted the question; correlated tables lacked an FK and the gate ignored shared CorrelationId proof","Corrected fixture status/verification; accept same correlation key across two distinct tables","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-005","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.519857400009641","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-001","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.074344700013171","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-002","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.457420299993828","not recorded","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-003","banking","INSUFFICIENT_DATABASE_EVIDENCE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","4.3116878000000725","ambiguous-safe-stop","no after ambiguity","no after ambiguity","no","not reached","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Ambiguous unsuffixed identifier correctly failed closed; evaluator classified the safe stop as insufficient evidence","No broad matching change; ambiguity remains a safe stop","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-004","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.467932799991104","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-005","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","12.273268899996765","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-006","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.92920199999935","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-007","banking","AI_SKIPPED_BY_EVIDENCE_GATE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","5.415811200000462","exact","yes","yes","yes","rejected","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Fixture primary status contradicted the question","Corrected fixture status and verification assertion","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-008","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.237599800006137","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-009","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.633450299996184","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-010","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.835862300009467","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-011","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.114728500004276","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-012","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.951167799998075","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-013","banking","AI_SKIPPED_BY_EVIDENCE_GATE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","5.649215200013714","exact","yes","yes","yes","rejected","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Generic question noun overrode database-proven entity table; expected procedure/fixture target also appears inconsistent","Prefer unique database-proven entity table; fixture procedure mismatch left unresolved","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-014","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.29296570000588","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-015","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.24906750000082","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-016","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.551319700010936","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-017","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.965211500006262","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-018","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.68837029999122","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-019","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.958871900002123","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-020","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.188267799996538","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-pilot-001","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.73475000000326","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-pilot-002","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.92090329999337","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-pilot-003","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.511721900009434","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-pilot-004","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","17.307417999996687","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-pilot-005","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.44195469999977","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-001","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.367387300007977","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-002","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.832173800008604","not recorded","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-003","shipping","INSUFFICIENT_DATABASE_EVIDENCE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","9.456427700002678","ambiguous-safe-stop","no after ambiguity","no after ambiguity","no","not reached","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Ambiguous unsuffixed identifier correctly failed closed; evaluator classified the safe stop as insufficient evidence","No broad matching change; ambiguity remains a safe stop","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-004","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.703612299999804","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-005","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.355760999998893","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-006","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.939559600010398","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-007","shipping","AI_SKIPPED_BY_EVIDENCE_GATE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","10.348440600006143","exact","yes","yes","yes","rejected","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Fixture primary status contradicted the question","Corrected fixture status and verification assertion","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-008","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.733809299999848","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-009","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.734007899998687","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-010","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","14.949891000011121","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-011","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.779325499999686","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-012","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.459748700013733","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-013","shipping","AI_SKIPPED_BY_EVIDENCE_GATE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","10.19094590000168","exact","yes","yes","yes","rejected","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Generic question noun overrode database-proven entity table; expected procedure/fixture target also appears inconsistent","Prefer unique database-proven entity table; fixture procedure mismatch left unresolved","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-014","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.571897400004673","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-015","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.358468100006576","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-016","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.412462699998287","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-017","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.4215503000014","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-018","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","16.23410899999726","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-019","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.281756199998199","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"shipping-benchmark-020","shipping","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","15.294514699999127","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
